Cited	Citing
4243318	8125643
4243318	8363221
4243318	8432550
4243318	8450069
4243318	9068991
4243318	9494598
4245041	6589779
4245041	6602702
4245041	6649403
4245041	6713298
4245041	6908770
4245041	7022517
4245041	7316899
4245041	7491552
4245041	7651868
4245041	8101431
4245041	8105849
4245041	8257967
4245041	9198890
4245041	9696276
4245041	9957563
4245043	6509168
4245043	7122338
4245358	8021421
4246101	7391333
4246101	9527010
4246339	6338802
4246339	6419827
4246339	6451261
4246339	6486401
4246339	6506343
4246339	6558631
4246339	6783732
4246339	6906292
4246339	7019267
4246339	7033840
4246339	7582484
4246339	7795038
4246339	8475735
4246339	9347938
4246339	9739743
4246339	9739773
4246339	9823240
4246340	6599711
4246340	6911319
4246340	6927851
4246340	7108996
4246340	7118878
4247406	6514688
4247406	7044957
4247406	7229417
4247406	7625397
4247406	7732220
4247406	7785902
4247406	8277391
4247406	8865068
4247815	6744038
4247815	6778724
4247815	6784420
4247815	6815664
4247815	6833542
4247815	7068874
4248498	7327515
4248498	9180593
4248498	9676095
4248498	9776322
4254083	6488827
4254083	6541266
4254083	6562625
4254083	6571651
4254083	6821483
4254083	6887426
4254083	6908593
4254083	7131342
4254083	7431814
4254083	7604722
4254083	8652831
4254083	8828203
4254083	9261476
4254222	6541216
4254222	7144709
4254222	7435558
4254222	8500990
4254222	9234887
4254222	9702848
4256573	6616845
4256832	8940498
4256832	9494577
4256832	10118177
4257771	7256049
4257862	6541266
4257862	6562625
4257862	6821483
4257862	6887426
4259964	7195878
4259964	9448145
4260392	8426213
4263508	7723116
4263508	8154273
4265747	8785808
4265747	8796581
4271139	6977141
4271139	7957911
4272379	7332077
4272398	6511749
4272398	7931896
4272398	7989173
4272398	9011853
4272398	9134321
4272482	6541266
4272482	6562625
4272482	6821483
4272482	6887426
4273443	8134704
4273443	8243272
4274832	6541266
4274832	6562625
4274832	6818455
4274832	6821483
4274832	6887426
4277249	6348323
4277249	6627226
4277249	9927331
4277343	6416652
4277561	6541266
4277561	6562625
4277561	6821483
4277561	6887426
4277561	7238483
4277561	8741593
4278437	7276383
4278437	7691332
4278437	7795036
4278437	7824922
4278437	7927549
4278437	8206662
4278437	8211710
4279724	6800184
4282287	6416714
4282287	6416960
4282287	6444254
4282287	6458547
4282287	6558902
4282287	6596257
4282287	6649356
4282287	6649357
4282287	6849462
4282287	6864101
4282287	6943034
4282287	7108993
4282287	7163712
4282287	7192729
4282287	7691330
4282287	7919138
4282287	8895255
4282287	9657327
4282287	9677109
4282287	9841422
4282317	7910361
4282317	8518637
4283262	6485690
4283262	7238268
4283262	8268633
4283262	10190115
4283383	6541266
4283383	6562625
4283383	6821483
4283383	6887426
4284444	7179849
4284444	9938331
4286876	7053783
4286876	7430046
4286876	7738099
4286876	8218144
4286876	8628976
4290300	6709871
4291122	6436659
4291122	6458554
4291122	6623955
4291122	7964368
4291122	8043845
4291122	8071362
4291122	8173388
4291122	8173389
4291122	8173438
4291122	8283133
4291122	8802392
