PN,INVENTOR
04162851,Akiyoshi Wada
04162895,Pierre L. Masson
04162895,Cesar L. Cambiaso
04163383,Gary L. VanderSyde
04163383,John Warberg
04163446,Khosrow Jamshidi
04164199,Willis E. Pequegnat
04166720,Jerome B. Weber
04166825,Jacob J. Plattner
04166825,Susan E. Magic
04166825,Houston F. Voss
04167449,Robert J. Gargiulo
04167449,Richard C. Driscoll
04168300,Gudrun M. Einarsson
04168300,Lars-Olov Andersson
04168300,Hakan G. Borg
04169062,Eugene A. Weipert
04169137,Tomas Hirschfeld
04169137,Diane Eaton
04169138,U. R. Svante Jonsson
04169339,Jacques L. A. See
04169676,Nils Kaiser
04169804,"Anthony F. Yapel, Jr."
04170625,Henry H. Welch
04170798,Carlos L. Krumdieck
04171956,Egidijus E. Uzgiris
04174772,Norbert Neuss
04174772,Roger D. Miller
04175976,Fitzhugh L. Avera
04177253,George E. Davies
04177253,Jiri Janata
04178438,Rudolf F. Wurster
04178438,Hans Wegmuller
04178438,Quentin Bowes
04178438,Peter Liechti
04178438,Jaroslav Haase
04179398,Roger A. Hunt
04180060,Dolphe Kutter
04181501,"William J. Ward, III"
04181501,Ivar Giaever
04181501,Charles R. Keese
04181589,Donald E. Brooks
04181594,Frank Valentich
04181594,Nabil I. Rizk
04181650,"Charles L. Maier, Jr."
04182656,Rodney L. Broman
04182656,Joseph E. Ahnell
04182656,John R. Waters
04182675,John S. Jeris
04183810,Victor E. A. Baenens
04183810,Jan A. L. Thissen
04185501,Arthur E. Nagy
04185501,Andrew P. Proudian
04186251,Peter N. Tarbutton
04187075,Hans G. Noller
04189401,Allan L. Louderback
04189466,Charles F. Lange
04189466,Abraham S. Mark
04189466,George H. Scherr
04189466,Herman Ainis
04189536,Stanley E. Green
04191656,Robert M. Marshall
04191940,H. Janney Nichols
04191940,Fabian C. Polcyn
04191940,Robert E. Marshall
04192849,Egmont Scheubeck
04192849,Johann Gehring
04193982,Therese M. F. Ternynck
04193982,Stratis Avrameas
04195073,Edward S. Newman
04195930,Edouard F. da Silva
04195930,Michel M. Delhaye
04195930,Paul A. Dhamelincourt
04197088,Jesse L. Acker
04197088,Peter M. Meserol
04198296,Alan H. Molof
04198296,Lee Wikstrom
04198296,John J. Doumas
04198296,Gordon H. Raymond
04198389,Charles Wadsworth
04198483,Makoto Yoshinaga
04198483,Ikuo Tawara
04198483,Shinroku Sogi
04198483,Toshio Shinohara
04198484,Larry E. Swaton
04198484,Allen S. Reichler
04200056,Leighton C. Johnson
04200098,Atul D. Ayer
04200098,Felix Theeuwes
04200532,Akitoshi Iwatani
04200532,Masataro Takuma
04201221,Majid Ali
04201221,Donald J. Nalebuff
04201693,Wesley D. Hurt
04201693,John P. Koski
04201694,Allan L. Louderback
04202774,Peter Kos
04202875,Jon M. Lindstrom
04202938,Fritz Heinz
04202938,Rainer Haeckel
04203441,Felix Theeuwes
04204018,Ramesh C. Kapoor
04204018,Bruce S. Bernstein
04204018,Seymour Hyman
04204435,Guy Thomin
04204435,Edouard Bridoux
04204435,Christian Bruneel
04204435,Francis Haine
